,continentEnglishName,countryEnglishName,currentConfirmedCount,confirmedCount,curedCount,deadCount
47,North America,Barbados,21,301,273,7
48,Europe,Poland,242517,1182864,915576,24771
49,Asia,Korea,12888,47515,33982,645
50,Europe,Estonia,7568,20658,12922,168
51,Europe,Hungary,198438,295977,89814,7725
52,Asia,Georgia,30133,201368,169282,1953
53,Africa,Malawi,290,6138,5661,187
54,Asia,Pakistan,42478,451494,399852,9164
55,Europe,Ukraine,366903,944381,561222,16256
56,Asia,Lebanon,44797,153049,106712,1540
57,North America,Jamaica,3164,11966,8523,279
58,Europe,Luxembourg,8242,43279,34609,428
59,South America,Venezuela,4255,108717,103492,970
60,Asia,Thailand,232,4297,4005,60
61,South America,Suriname,71,5428,5240,117
62,South America,Colombia,85189,1468795,1343819,39787
63,Africa,,167,3206,2977,62
64,Africa,The Islamic Republic of Mauritania,2947,11431,8248,236
65,North America,,188,1878,1667,23
66,Africa,Sao Tome and Principe,39,1011,955,17
67,Asia,Iraq,52478,580449,515321,12650
68,Asia,Vietnam,109,1407,1263,35
69,South America,Paraguay,25645,97028,69351,2032
70,Africa,Democratic Republic of the Congo,1712,15088,13010,366
71,Africa,Lesotho,919,2400,1435,46
72,North America,Nicaragua,1499,5887,4225,163
73,Africa,Togo,397,3315,2852,66
74,Europe,Belarus,21035,167731,145397,1299
